"","","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Number of deaths among children ages 5 to 9 years","Number of deaths among children ages 5 to 9 years","Number of deaths among children ages 5 to 9 years"
"WHO region","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Global"," 1990","9.63 [9.37-9.92]","9.84 [9.29-10.09]","9.42 [8.9-9.66]","1 119 524 [1 088 354-1 152 749]","585 838 [553 131-601 307]","533 686 [503 873-547 331]"
"Africa"," 2021","9.31 [8.62-9.96]","9.68 [8.47-10.25]","8.93 [7.8-9.48]","300 600 [278 090-321 512]","157 938 [138 006-167 199]","142 662 [124 546-151 415]"
"Africa"," 2020","9.57 [8.89-10.21]","9.94 [8.77-10.53]","9.2 [8.1-9.75]","303 608 [281 985-323 761]","159 304 [140 429-168 703]","144 304 [127 104-153 064]"
"Africa"," 2019","9.84 [9.19-10.48]","10.21 [9.09-10.8]","9.47 [8.44-10.03]","306 416 [285 889-326 256]","160 527 [142 938-169 925]","145 889 [129 912-154 654]"
"Africa"," 2018","10.08 [9.44-10.72]","10.44 [9.39-11.06]","9.71 [8.73-10.28]","307 748 [288 286-327 379]","161 077 [144 806-170 591]","146 671 [131 880-155 464]"
"Africa"," 2017","10.34 [9.73-10.98]","10.71 [9.74-11.33]","9.98 [9.06-10.56]","309 196 [290 869-328 227]","161 589 [146 877-171 062]","147 607 [134 055-156 352]"
"Africa"," 2016","10.63 [10.04-11.25]","10.98 [10.08-11.61]","10.26 [9.41-10.86]","310 265 [293 003-328 631]","161 900 [148 495-171 178]","148 365 [136 011-156 987]"
"Africa"," 2015","10.94 [10.38-11.56]","11.29 [10.47-11.92]","10.59 [9.8-11.19]","311 546 [295 297-329 325]","162 234 [150 362-171 350]","149 312 [138 137-157 863]"
"Africa"," 2014","11.28 [10.73-11.9]","11.62 [10.86-12.25]","10.93 [10.19-11.54]","312 626 [297 473-330 060]","162 593 [151 880-171 413]","150 033 [139 822-158 545]"
"Africa"," 2013","11.63 [11.11-12.25]","11.97 [11.25-12.61]","11.28 [10.59-11.9]","313 491 [299 302-330 198]","162 812 [152 900-171 585]","150 679 [141 355-159 006]"
"Africa"," 2012","12.04 [11.53-12.65]","12.37 [11.69-13.03]","11.69 [11.04-12.31]","315 167 [301 816-331 444]","163 460 [154 425-172 132]","151 707 [143 235-159 823]"
"Africa"," 2011","12.48 [11.97-13.1]","12.83 [12.17-13.48]","12.13 [11.52-12.75]","317 446 [304 463-333 243]","164 562 [156 154-173 034]","152 884 [145 117-160 795]"
"Africa"," 2010","12.96 [12.46-13.58]","13.31 [12.69-13.98]","12.6 [12-13.23]","320 280 [307 885-335 706]","165 950 [158 166-174 276]","154 330 [146 910-162 106]"
"Africa"," 2009","13.49 [12.99-14.11]","13.85 [13.25-14.52]","13.11 [12.52-13.75]","323 969 [311 884-339 082]","167 829 [160 447-175 980]","156 140 [148 979-163 801]"
"Africa"," 2008","14.05 [13.55-14.68]","14.43 [13.83-15.1]","13.66 [13.07-14.3]","328 140 [316 298-342 867]","169 938 [162 775-177 940]","158 202 [151 290-165 665]"
"Africa"," 2007","14.64 [14.13-15.27]","15.04 [14.43-15.74]","14.23 [13.64-14.89]","332 732 [321 004-347 065]","172 359 [165 243-180 366]","160 373 [153 620-167 774]"
"Africa"," 2006","15.26 [14.74-15.9]","15.66 [15.04-16.37]","14.85 [14.25-15.51]","337 879 [326 355-352 143]","174 838 [167 807-182 879]","163 041 [156 410-170 421]"
"Africa"," 2005","15.88 [15.34-16.53]","16.29 [15.64-17.01]","15.46 [14.86-16.15]","343 254 [331 659-357 445]","177 497 [170 448-185 435]","165 757 [159 235-173 188]"
"Africa"," 2004","16.51 [15.96-17.17]","16.93 [16.28-17.68]","16.08 [15.45-16.8]","348 710 [336 998-362 877]","180 265 [173 237-188 307]","168 445 [161 815-176 084]"
"Africa"," 2003","17.15 [16.59-17.84]","17.59 [16.91-18.38]","16.71 [16.06-17.45]","354 456 [342 655-368 843]","183 240 [176 089-191 531]","171 216 [164 505-178 906]"
"Africa"," 2002","17.77 [17.18-18.49]","18.24 [17.53-19.04]","17.29 [16.62-18.06]","359 474 [347 468-374 124]","185 966 [178 746-194 273]","173 508 [166 728-181 316]"
"Africa"," 2001","18.41 [17.8-19.17]","18.91 [18.18-19.76]","17.9 [17.19-18.7]","364 499 [352 260-379 731]","188 752 [181 355-197 349]","175 747 [168 711-183 765]"
"Africa"," 2000","19.06 [18.42-19.87]","19.61 [18.83-20.51]","18.5 [17.75-19.34]","369 343 [356 946-385 232]","191 547 [183 859-200 478]","177 796 [170 602-185 953]"
"Africa"," 1999","19.73 [19.06-20.59]","20.34 [19.51-21.29]","19.1 [18.31-19.98]","374 768 [361 978-391 353]","194 784 [186 726-203 987]","179 984 [172 467-188 380]"
"Africa"," 1998","20.42 [19.7-21.34]","21.09 [20.19-22.09]","19.74 [18.88-20.67]","380 538 [367 115-397 923]","198 101 [189 575-207 586]","182 437 [174 486-191 142]"
"Africa"," 1997","21.09 [20.32-22.07]","21.82 [20.83-22.87]","20.35 [19.39-21.31]","385 222 [371 138-403 311]","200 824 [191 642-210 623]","184 398 [175 684-193 245]"
"Africa"," 1996","21.65 [20.84-22.7]","22.44 [21.35-23.56]","20.85 [19.81-21.87]","386 972 [372 364-405 916]","202 122 [192 193-212 320]","184 850 [175 529-194 015]"
"Africa"," 1995","22.24 [21.38-23.36]","23.09 [21.86-24.27]","21.38 [20.22-22.44]","388 845 [373 549-408 664]","203 391 [192 466-213 971]","185 454 [175 252-194 739]"
"Africa"," 1994","24.46 [23.51-25.66]","25.35 [23.96-26.61]","23.55 [22.2-24.68]","419 608 [403 205-440 377]","219 103 [206 869-230 104]","200 505 [188 861-210 215]"
"Africa"," 1993","23.72 [22.71-24.96]","24.68 [23.08-25.95]","22.74 [21.2-23.86]","397 061 [379 971-418 106]","208 092 [194 431-218 872]","188 969 [176 060-198 395]"
"Africa"," 1992","24.04 [22.95-25.33]","24.98 [23.13-26.26]","23.08 [21.32-24.25]","392 305 [374 337-413 674]","205 320 [189 973-216 016]","186 985 [172 593-196 544]"
"Africa"," 1991","24.35 [23.19-25.67]","25.31 [23.12-26.6]","23.38 [21.31-24.54]","386 885 [368 148-408 124]","202 463 [184 722-212 933]","184 422 [167 947-193 722]"
"Africa"," 1990","25.01 [23.74-26.4]","25.97 [23.27-27.28]","24.05 [21.53-25.24]","387 161 [367 238-408 849]","202 360 [181 084-212 752]","184 801 [165 254-194 107]"
"Americas"," 2021","1.01 [0.96-1.06]","1.11 [1.03-1.16]","0.9 [0.83-0.95]","14 967 [14 291-15 713]","8 404 [7 860-8 832]","6 563 [6 082-6 950]"
"Americas"," 2020","1.02 [0.98-1.06]","1.13 [1.06-1.18]","0.91 [0.85-0.95]","15 246 [14 655-15 917]","8 600 [8 100-8 989]","6 646 [6 230-6 984]"
"Americas"," 2019","1.05 [1.01-1.1]","1.16 [1.1-1.21]","0.94 [0.89-0.99]","15 764 [15 184-16 434]","8 867 [8 386-9 253]","6 897 [6 500-7 228]"
"Americas"," 2018","1.09 [1.05-1.13]","1.2 [1.14-1.25]","0.97 [0.92-1.02]","16 352 [15 783-17 022]","9 197 [8 726-9 581]","7 155 [6 774-7 490]"
"Americas"," 2017","1.11 [1.08-1.16]","1.23 [1.17-1.28]","0.99 [0.94-1.04]","16 802 [16 241-17 472]","9 459 [9 010-9 846]","7 343 [6 977-7 679]"
"Americas"," 2016","1.13 [1.09-1.17]","1.25 [1.19-1.3]","1.01 [0.96-1.05]","17 113 [16 558-17 783]","9 648 [9 218-10 039]","7 465 [7 106-7 793]"
"Americas"," 2015","1.15 [1.11-1.19]","1.28 [1.22-1.32]","1.02 [0.97-1.06]","17 461 [16 907-18 120]","9 874 [9 462-10 255]","7 587 [7 237-7 917]"
