"","","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Number of deaths among children ages 5 to 9 years","Number of deaths among children ages 5 to 9 years","Number of deaths among children ages 5 to 9 years"
"WHO region","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Europe"," 2017","0.77 [0.77-0.78]","0.88 [0.87-0.89]","0.66 [0.66-0.68]","8 755 [8 706-8 811]","5 095 [5 038-5 148]","3 660 [3 614-3 717]"
"Europe"," 2016","0.81 [0.8-0.81]","0.91 [0.9-0.92]","0.69 [0.69-0.7]","9 002 [8 956-9 056]","5 230 [5 178-5 289]","3 772 [3 723-3 825]"
"Europe"," 2015","0.84 [0.84-0.84]","0.95 [0.94-0.96]","0.72 [0.71-0.73]","9 242 [9 196-9 293]","5 369 [5 317-5 425]","3 873 [3 824-3 924]"
"Europe"," 2014","0.88 [0.87-0.88]","0.99 [0.98-1.]","0.76 [0.75-0.77]","9 481 [9 435-9 532]","5 493 [5 440-5 549]","3 988 [3 943-4 040]"
"Europe"," 2013","0.92 [0.91-0.92]","1.03 [1.02-1.04]","0.8 [0.79-0.81]","9 739 [9 691-9 791]","5 605 [5 556-5 664]","4 134 [4 084-4 183]"
"Europe"," 2012","0.97 [0.96-0.97]","1.08 [1.07-1.09]","0.85 [0.84-0.86]","10 072 [10 022-10 129]","5 774 [5 720-5 830]","4 298 [4 250-4 353]"
"Europe"," 2011","1.02 [1.02-1.03]","1.14 [1.13-1.15]","0.9 [0.89-0.91]","10 545 [10 486-10 608]","6 020 [5 965-6 079]","4 525 [4 472-4 581]"
"Europe"," 2010","1.09 [1.08-1.1]","1.21 [1.2-1.22]","0.96 [0.95-0.97]","11 148 [11 078-11 221]","6 354 [6 293-6 418]","4 794 [4 737-4 854]"
"Europe"," 2009","1.16 [1.15-1.17]","1.29 [1.28-1.3]","1.03 [1.01-1.04]","11 836 [11 754-11 925]","6 739 [6 671-6 812]","5 097 [5 031-5 165]"
"Europe"," 2008","1.24 [1.23-1.25]","1.38 [1.36-1.39]","1.1 [1.08-1.11]","12 624 [12 520-12 728]","7 190 [7 095-7 281]","5 434 [5 348-5 525]"
"Europe"," 2007","1.32 [1.31-1.33]","1.47 [1.45-1.49]","1.17 [1.14-1.19]","13 496 [13 369-13 619]","7 694 [7 576-7 809]","5 802 [5 690-5 916]"
"Europe"," 2006","1.4 [1.39-1.42]","1.56 [1.54-1.59]","1.24 [1.21-1.26]","14 421 [14 272-14 568]","8 226 [8 086-8 367]","6 195 [6 057-6 330]"
"Europe"," 2005","1.49 [1.47-1.5]","1.66 [1.63-1.69]","1.31 [1.28-1.34]","15 407 [15 236-15 581]","8 795 [8 632-8 962]","6 612 [6 451-6 772]"
"Europe"," 2004","1.57 [1.55-1.59]","1.76 [1.72-1.79]","1.38 [1.34-1.41]","16 463 [16 271-16 663]","9 418 [9 229-9 608]","7 045 [6 868-7 230]"
"Europe"," 2003","1.65 [1.63-1.67]","1.85 [1.81-1.89]","1.45 [1.41-1.48]","17 547 [17 335-17 770]","10 052 [9 851-10 268]","7 495 [7 299-7 691]"
"Europe"," 2002","1.73 [1.71-1.75]","1.94 [1.9-1.98]","1.51 [1.47-1.55]","18 734 [18 497-18 974]","10 752 [10 529-10 983]","7 982 [7 759-8 193]"
"Europe"," 2001","1.8 [1.78-1.83]","2.03 [1.99-2.08]","1.56 [1.52-1.61]","20 021 [19 761-20 280]","11 538 [11 295-11 785]","8 483 [8 248-8 716]"
"Europe"," 2000","1.88 [1.85-1.9]","2.13 [2.08-2.17]","1.62 [1.58-1.67]","21 436 [21 155-21 715]","12 399 [12 137-12 666]","9 037 [8 791-9 294]"
"Europe"," 1999","2.1 [2.07-2.13]","2.34 [2.29-2.4]","1.84 [1.79-1.9]","24 670 [24 302-25 029]","14 077 [13 740-14 404]","10 593 [10 270-10 928]"
"Europe"," 1998","2.06 [2.03-2.09]","2.34 [2.29-2.39]","1.76 [1.72-1.81]","24 959 [24 632-25 278]","14 502 [14 202-14 800]","10 457 [10 183-10 741]"
"Europe"," 1997","2.16 [2.13-2.19]","2.46 [2.41-2.51]","1.85 [1.8-1.9]","26 920 [26 571-27 256]","15 656 [15 340-15 963]","11 264 [10 979-11 563]"
"Europe"," 1996","2.26 [2.23-2.29]","2.58 [2.52-2.63]","1.93 [1.88-1.98]","28 760 [28 400-29 122]","16 745 [16 411-17 073]","12 015 [11 716-12 329]"
"Europe"," 1995","2.33 [2.3-2.36]","2.66 [2.61-2.71]","1.98 [1.93-2.03]","30 051 [29 669-30 424]","17 547 [17 194-17 886]","12 504 [12 178-12 831]"
"Europe"," 1994","2.37 [2.34-2.4]","2.73 [2.67-2.78]","2. [1.95-2.06]","30 906 [30 506-31 293]","18 108 [17 738-18 449]","12 798 [12 460-13 136]"
"Europe"," 1993","2.49 [2.46-2.52]","2.86 [2.8-2.91]","2.1 [2.05-2.16]","32 533 [32 108-32 945]","19 053 [18 668-19 404]","13 480 [13 128-13 831]"
"Europe"," 1992","2.54 [2.51-2.57]","2.93 [2.87-2.99]","2.13 [2.07-2.19]","33 137 [32 695-33 559]","19 498 [19 093-19 872]","13 639 [13 272-14 000]"
"Europe"," 1991","2.47 [2.43-2.5]","2.88 [2.82-2.94]","2.04 [1.98-2.1]","32 088 [31 635-32 511]","19 066 [18 652-19 443]","13 022 [12 634-13 384]"
"Europe"," 1990","2.48 [2.45-2.52]","2.9 [2.83-2.95]","2.06 [1.99-2.11]","32 159 [31 680-32 585]","19 100 [18 647-19 477]","13 059 [12 636-13 421]"
"Eastern Mediterranean"," 2021","3.37 [2.99-3.74]","3.69 [3.06-4.08]","3.04 [2.52-3.39]","59 504 [52 728-66 009]","33 290 [27 649-36 851]","26 214 [21 706-29 255]"
"Eastern Mediterranean"," 2020","3.43 [3.07-3.79]","3.75 [3.15-4.13]","3.1 [2.59-3.44]","60 006 [53 579-66 216]","33 555 [28 169-36 955]","26 451 [22 144-29 386]"
"Eastern Mediterranean"," 2019","3.57 [3.21-3.92]","3.88 [3.3-4.26]","3.23 [2.73-3.57]","61 374 [55 210-67 426]","34 213 [29 047-37 548]","27 161 [22 924-30 023]"
"Eastern Mediterranean"," 2018","3.69 [3.34-4.03]","4.01 [3.44-4.38]","3.35 [2.86-3.7]","62 242 [56 428-68 094]","34 617 [29 686-37 817]","27 625 [23 571-30 479]"
"Eastern Mediterranean"," 2017","3.79 [3.45-4.13]","4.1 [3.56-4.47]","3.45 [2.98-3.79]","62 571 [57 092-68 204]","34 748 [30 130-37 858]","27 823 [24 029-30 569]"
"Eastern Mediterranean"," 2016","4.1 [3.78-4.44]","4.41 [3.88-4.78]","3.78 [3.33-4.13]","66 285 [61 041-71 829]","36 501 [32 162-39 569]","29 784 [26 245-32 556]"
"Eastern Mediterranean"," 2015","4.28 [3.96-4.62]","4.59 [4.09-4.96]","3.96 [3.52-4.31]","67 457 [62 420-72 877]","37 039 [33 054-40 098]","30 418 [27 077-33 147]"
"Eastern Mediterranean"," 2014","4.47 [4.16-4.81]","4.77 [4.31-5.15]","4.16 [3.75-4.51]","68 742 [63 914-74 029]","37 603 [33 983-40 555]","31 139 [28 070-33 826]"
"Eastern Mediterranean"," 2013","4.6 [4.29-4.94]","4.9 [4.47-5.27]","4.28 [3.89-4.64]","69 163 [64 526-74 308]","37 780 [34 433-40 642]","31 383 [28 489-34 002]"
"Eastern Mediterranean"," 2012","4.65 [4.35-4.98]","4.95 [4.53-5.33]","4.33 [3.94-4.68]","68 520 [64 072-73 488]","37 440 [34 229-40 261]","31 080 [28 294-33 634]"
"Eastern Mediterranean"," 2011","4.66 [4.35-5.01]","4.97 [4.56-5.35]","4.33 [3.95-4.7]","67 610 [63 183-72 672]","36 985 [33 907-39 835]","30 625 [27 902-33 212]"
"Eastern Mediterranean"," 2010","4.75 [4.45-5.09]","5.05 [4.66-5.43]","4.43 [4.06-4.79]","68 008 [63 723-72 940]","37 131 [34 226-39 906]","30 877 [28 283-33 387]"
"Eastern Mediterranean"," 2009","4.78 [4.5-5.11]","5.08 [4.71-5.44]","4.46 [4.11-4.8]","67 502 [63 514-72 160]","36 828 [34 170-39 473]","30 674 [28 284-33 051]"
"Eastern Mediterranean"," 2008","4.93 [4.65-5.25]","5.21 [4.86-5.57]","4.63 [4.28-4.98]","68 671 [64 774-73 251]","37 293 [34 754-39 848]","31 378 [29 033-33 753]"
"Eastern Mediterranean"," 2007","4.91 [4.65-5.23]","5.19 [4.86-5.53]","4.62 [4.3-4.96]","67 704 [64 061-72 038]","36 731 [34 399-39 156]","30 973 [28 795-33 240]"
"Eastern Mediterranean"," 2006","4.97 [4.71-5.27]","5.23 [4.91-5.57]","4.69 [4.38-5.02]","67 621 [64 173-71 761]","36 574 [34 339-38 942]","31 047 [28 979-33 245]"
"Eastern Mediterranean"," 2005","5.72 [5.43-6.06]","5.89 [5.54-6.27]","5.54 [5.18-5.92]","77 056 [73 199-81 611]","40 763 [38 293-43 417]","36 293 [33 925-38 833]"
"Eastern Mediterranean"," 2004","5.09 [4.86-5.38]","5.35 [5.06-5.67]","4.82 [4.54-5.14]","68 013 [64 856-71 839]","36 680 [34 675-38 892]","31 333 [29 483-33 403]"
"Eastern Mediterranean"," 2003","5.34 [5.12-5.62]","5.57 [5.28-5.89]","5.11 [4.83-5.42]","70 893 [67 868-74 598]","37 922 [35 967-40 089]","32 971 [31 179-34 990]"
"Eastern Mediterranean"," 2002","5.31 [5.09-5.58]","5.55 [5.28-5.86]","5.06 [4.78-5.36]","69 984 [67 060-73 577]","37 515 [35 643-39 622]","32 469 [30 704-34 430]"
"Eastern Mediterranean"," 2001","5.45 [5.24-5.71]","5.68 [5.41-5.98]","5.21 [4.94-5.5]","71 594 [68 781-75 052]","38 255 [36 434-40 294]","33 339 [31 610-35 229]"
"Eastern Mediterranean"," 2000","5.59 [5.39-5.85]","5.82 [5.56-6.12]","5.36 [5.09-5.65]","73 328 [70 600-76 700]","39 101 [37 330-41 084]","34 227 [32 510-36 113]"
"Eastern Mediterranean"," 1999","5.75 [5.55-6.01]","5.97 [5.71-6.26]","5.52 [5.25-5.81]","74 936 [72 306-78 222]","39 867 [38 074-41 794]","35 069 [33 351-36 893]"
"Eastern Mediterranean"," 1998","6. [5.8-6.25]","6.21 [5.93-6.5]","5.78 [5.49-6.07]","77 540 [74 959-80 768]","41 108 [39 219-43 029]","36 432 [34 577-38 251]"
"Eastern Mediterranean"," 1997","6.13 [5.93-6.37]","6.35 [6.05-6.63]","5.89 [5.6-6.18]","78 290 [75 775-81 431]","41 553 [39 596-43 412]","36 737 [34 921-38 520]"
"Eastern Mediterranean"," 1996","6.34 [6.15-6.59]","6.56 [6.23-6.85]","6.12 [5.79-6.4]","80 100 [77 603-83 209]","42 429 [40 287-44 289]","37 671 [35 676-39 422]"
"Eastern Mediterranean"," 1995","6.56 [6.36-6.81]","6.78 [6.41-7.07]","6.34 [5.99-6.62]","81 707 [79 201-84 791]","43 188 [40 882-45 045]","38 519 [36 387-40 245]"
"Eastern Mediterranean"," 1994","6.78 [6.57-7.03]","6.99 [6.61-7.28]","6.55 [6.18-6.83]","82 957 [80 433-86 016]","43 793 [41 392-45 616]","39 164 [36 921-40 845]"
"Eastern Mediterranean"," 1993","6.97 [6.76-7.22]","7.19 [6.79-7.47]","6.74 [6.35-7.02]","83 391 [80 846-86 392]","44 016 [41 550-45 767]","39 375 [37 110-41 045]"
"Eastern Mediterranean"," 1992","7.19 [6.97-7.45]","7.42 [7.02-7.72]","6.96 [6.57-7.24]","83 959 [81 366-86 971]","44 293 [41 903-46 070]","39 666 [37 477-41 315]"
"Eastern Mediterranean"," 1991","7.47 [7.23-7.74]","7.71 [7.28-8.02]","7.21 [6.8-7.51]","85 004 [82 330-88 079]","44 895 [42 383-46 689]","40 109 [37 785-41 787]"
"Eastern Mediterranean"," 1990","8.22 [7.96-8.51]","8.42 [7.94-8.75]","8.01 [7.54-8.34]","91 410 [88 568-94 639]","47 911 [45 155-49 809]","43 499 [40 943-45 290]"
"Western Pacific"," 2021","1.05 [0.86-1.25]","1.23 [0.98-1.48]","0.85 [0.68-1.02]","26 415 [21 552-31 548]","16 394 [13 142-19 797]","10 021 [8 085-12 103]"
"Western Pacific"," 2020","1.08 [0.9-1.28]","1.26 [1.03-1.51]","0.87 [0.72-1.04]","27 201 [22 548-32 186]","16 908 [13 836-20 216]","10 293 [8 443-12 308]"
"Western Pacific"," 2019","1.11 [0.94-1.3]","1.3 [1.08-1.54]","0.9 [0.75-1.06]","27 918 [23 555-32 743]","17 388 [14 467-20 596]","10 530 [8 778-12 477]"
"Western Pacific"," 2018","1.15 [0.98-1.33]","1.34 [1.13-1.57]","0.92 [0.78-1.08]","28 633 [24 544-33 153]","17 873 [15 091-20 856]","10 760 [9 110-12 620]"
"Western Pacific"," 2017","1.18 [1.03-1.35]","1.39 [1.19-1.59]","0.95 [0.82-1.1]","29 172 [25 421-33 320]","18 231 [15 655-20 965]","10 941 [9 413-12 691]"
"Western Pacific"," 2016","1.22 [1.08-1.38]","1.43 [1.25-1.62]","0.98 [0.85-1.12]","29 691 [26 302-33 517]","18 571 [16 186-21 058]","11 120 [9 696-12 736]"
"Western Pacific"," 2015","1.26 [1.13-1.4]","1.48 [1.31-1.66]","1.01 [0.89-1.14]","30 296 [27 270-33 815]","18 980 [16 798-21 303]","11 316 [10 015-12 808]"
"Western Pacific"," 2014","1.31 [1.19-1.44]","1.53 [1.38-1.71]","1.04 [0.93-1.17]","30 977 [28 247-34 178]","19 412 [17 431-21 594]","11 565 [10 322-12 948]"
"Western Pacific"," 2013","1.41 [1.31-1.54]","1.65 [1.5-1.81]","1.14 [1.04-1.26]","32 994 [30 527-35 888]","20 536 [18 699-22 503]","12 458 [11 303-13 737]"
"Western Pacific"," 2012","1.41 [1.32-1.53]","1.67 [1.53-1.81]","1.13 [1.03-1.24]","32 589 [30 329-35 196]","20 454 [18 751-22 261]","12 135 [11 048-13 328]"
"Western Pacific"," 2011","1.51 [1.42-1.61]","1.77 [1.64-1.9]","1.21 [1.11-1.32]","34 458 [32 383-36 860]","21 519 [19 923-23 202]","12 939 [11 913-14 075]"
"Western Pacific"," 2010","1.54 [1.46-1.64]","1.82 [1.7-1.95]","1.23 [1.13-1.33]","35 283 [33 323-37 492]","22 152 [20 647-23 739]","13 131 [12 129-14 199]"
"Western Pacific"," 2009","1.62 [1.54-1.7]","1.91 [1.79-2.03]","1.29 [1.2-1.38]","37 045 [35 191-39 088]","23 243 [21 824-24 722]","13 802 [12 830-14 840]"
"Western Pacific"," 2008","1.87 [1.78-1.97]","2.15 [2.03-2.28]","1.55 [1.44-1.66]","42 968 [40 924-45 215]","26 300 [24 804-27 881]","16 668 [15 486-17 920]"
"Western Pacific"," 2007","1.77 [1.69-1.86]","2.09 [1.98-2.2]","1.41 [1.32-1.51]","41 054 [39 284-43 018]","25 701 [24 352-27 146]","15 353 [14 356-16 394]"
"Western Pacific"," 2006","1.86 [1.78-1.95]","2.19 [2.07-2.31]","1.49 [1.39-1.59]","43 567 [41 679-45 630]","27 227 [25 780-28 745]","16 340 [15 307-17 437]"
"Western Pacific"," 2005","1.96 [1.87-2.05]","2.3 [2.18-2.43]","1.57 [1.47-1.68]","46 420 [44 345-48 641]","28 949 [27 344-30 591]","17 471 [16 349-18 663]"
"Western Pacific"," 2004","2.07 [1.97-2.17]","2.43 [2.29-2.58]","1.66 [1.55-1.78]","49 871 [47 494-52 435]","31 024 [29 242-32 898]","18 847 [17 602-20 182]"
"Western Pacific"," 2003","2.19 [2.08-2.31]","2.57 [2.41-2.73]","1.76 [1.64-1.9]","54 068 [51 282-57 095]","33 543 [31 508-35 727]","20 525 [19 096-22 074]"
"Western Pacific"," 2002","2.32 [2.19-2.47]","2.72 [2.54-2.91]","1.88 [1.74-2.03]","58 922 [55 655-62 626]","36 430 [34 074-39 037]","22 492 [20 852-24 299]"
"Western Pacific"," 2001","2.47 [2.32-2.64]","2.88 [2.68-3.11]","2 [1.85-2.17]","64 523 [60 668-69 099]","39 746 [37 008-42 880]","24 777 [22 863-26 870]"
"Western Pacific"," 2000","2.62 [2.44-2.82]","3.05 [2.82-3.32]","2.13 [1.96-2.33]","71 891 [67 172-77 510]","44 144 [40 840-47 956]","27 747 [25 488-30 329]"
"Western Pacific"," 1999","2.77 [2.57-3.01]","3.23 [2.97-3.53]","2.27 [2.07-2.5]","80 600 [74 811-87 613]","49 287 [45 305-53 956]","31 313 [28 602-34 497]"
"Western Pacific"," 1998","2.95 [2.73-3.23]","3.42 [3.13-3.78]","2.43 [2.21-2.7]","89 630 [82 726-98 203]","54 474 [49 765-60 125]","35 156 [31 909-38 989]"
"Western Pacific"," 1997","3.12 [2.86-3.44]","3.6 [3.27-4.01]","2.59 [2.33-2.89]","98 215 [90 061-108 514]","59 376 [53 928-66 047]","38 839 [35 049-43 357]"
"Western Pacific"," 1996","3.3 [3.01-3.67]","3.8 [3.42-4.26]","2.76 [2.47-3.1]","106 852 [97 386-119 034]","64 172 [57 874-72 005]","42 680 [38 255-47 965]"
"Western Pacific"," 1995","3.51 [3.18-3.93]","4 [3.59-4.53]","2.97 [2.65-3.35]","113 228 [102 732-126 882]","67 346 [60 352-76 152]","45 882 [40 930-51 872]"
"Western Pacific"," 1994","3.71 [3.35-4.18]","4.21 [3.76-4.78]","3.17 [2.81-3.6]","117 007 [105 599-131 860]","69 019 [61 487-78 347]","47 988 [42 532-54 485]"
"Western Pacific"," 1993","3.94 [3.54-4.45]","4.44 [3.93-5.05]","3.4 [2.99-3.87]","120 831 [108 470-136 623]","70 653 [62 578-80 456]","50 178 [44 181-57 150]"
"Western Pacific"," 1992","4.17 [3.72-4.74]","4.67 [4.1-5.34]","3.63 [3.17-4.15]","124 984 [111 546-141 978]","72 482 [63 565-82 818]","52 502 [45 861-59 929]"
"Western Pacific"," 1991","4.46 [3.96-5.08]","4.96 [4.33-5.67]","3.93 [3.41-4.5]","130 836 [116 258-149 052]","75 183 [65 605-85 997]","55 653 [48 314-63 751]"
"Western Pacific"," 1990","4.67 [4.13-5.35]","5.17 [4.46-5.93]","4.15 [3.56-4.76]","134 458 [118 680-154 042]","76 731 [66 228-88 166]","57 727 [49 565-66 295]"
