"","","Infant mortality rate (between birth and 11 months per 1000 live births)","Infant mortality rate (between birth and 11 months per 1000 live births)","Infant mortality rate (between birth and 11 months per 1000 live births)","Number of infant deaths (between birth and 11 months)","Number of infant deaths (between birth and 11 months)","Number of infant deaths (between birth and 11 months)"
"WHO region","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Global"," 1994","61.88 [61.18-62.69]","65.34 [64.5-66.28]","58.2 [57.45-59.07]","8 139 218 [8 047 564-8 244 487]","4 440 999 [4 384 546-4 504 368]","3 698 219 [3 651 331-3 753 422]"
"Global"," 1993","62.74 [62.02-63.56]","66.33 [65.48-67.31]","58.92 [58.13-59.82]","8 295 159 [8 200 585-8 402 871]","4 528 655 [4 471 180-4 595 150]","3 766 504 [3 716 587-3 823 655]"
"Global"," 1992","63.62 [62.86-64.49]","67.32 [66.41-68.33]","59.68 [58.86-60.65]","8 490 090 [8 389 300-8 604 812]","4 637 078 [4 575 113-4 706 645]","3 853 012 [3 800 306-3 915 574]"
"Global"," 1991","64.39 [63.59-65.3]","68.2 [67.24-69.26]","60.36 [59.49-61.36]","8 764 311 [8 651 365-8 890 752]","4 788 411 [4 720 707-4 866 248]","3 975 900 [3 918 208-4 044 279]"
"Global"," 1990","64.57 [63.67-65.62]","68.36 [67.31-69.55]","60.55 [59.61-61.68]","8 989 186 [8 865 848-9 132 274]","4 908 969 [4 834 689-4 993 752]","4 080 217 [4 018 075-4 156 247]"
"Africa"," 2021","49.22 [45.2-55.64]","53.93 [49.56-60.94]","44.24 [40.55-50.17]","1 916 163 [1 760 722-2 161 062]","1 067 678 [980 857-1 202 461]","848 485 [777 376-959 259]"
"Africa"," 2020","50.37 [46.61-56.26]","55.17 [51.02-61.64]","45.32 [41.84-50.67]","1 933 841 [1 790 415-2 155 497]","1 076 877 [995 459-1 199 709]","856 964 [790 961-955 472]"
"Africa"," 2019","51.53 [48.03-56.82]","56.4 [52.54-62.31]","46.37 [43.14-51.22]","1 950 379 [1 819 459-2 147 570]","1 085 664 [1 010 722-1 196 109]","864 715 [804 018-952 642]"
"Africa"," 2018","52.76 [49.51-57.52]","57.75 [54.12-63]","47.54 [44.52-51.89]","1 965 388 [1 845 901-2 140 139]","1 093 335 [1 024 747-1 190 482]","872 053 [816 835-950 218]"
"Africa"," 2017","54.12 [51.03-58.43]","59.2 [55.81-63.98]","48.76 [45.92-52.72]","1 983 770 [1 871 794-2 138 895]","1 103 262 [1 039 777-1 189 261]","880 508 [829 003-949 969]"
"Africa"," 2016","55.43 [52.56-59.27]","60.6 [57.47-64.88]","49.95 [47.3-53.47]","2 001 044 [1 898 719-2 137 648]","1 112 309 [1 054 140-1 187 807]","888 735 [840 796-949 296]"
"Africa"," 2015","56.68 [54.02-60.09]","62.03 [59.12-65.85]","51.12 [48.64-54.26]","2 017 433 [1 924 120-2 137 235]","1 121 342 [1 068 985-1 188 784]","896 091 [852 726-950 087]"
"Africa"," 2014","58 [55.57-61.02]","63.45 [60.73-66.84]","52.28 [49.99-55.07]","2 033 743 [1 949 695-2 138 039]","1 130 475 [1 081 796-1 188 859]","903 268 [863 559-950 063]"
"Africa"," 2013","59.38 [57.12-62.1]","64.96 [62.43-67.99]","53.49 [51.39-56.03]","2 052 630 [1 975 328-2 144 787]","1 141 378 [1 096 230-1 192 288]","911 252 [874 825-952 684]"
"Africa"," 2012","60.9 [58.79-63.34]","66.62 [64.25-69.34]","54.88 [52.9-57.18]","2 075 027 [2 003 902-2 156 440]","1 153 709 [1 112 111-1 198 745]","921 318 [887 667-958 138]"
"Africa"," 2011","62.6 [60.63-64.79]","68.43 [66.22-70.92]","56.44 [54.59-58.54]","2 096 894 [2 031 858-2 169 038]","1 165 358 [1 126 980-1 205 608]","931 536 [900 374-964 475]"
"Africa"," 2010","64.41 [62.62-66.42]","70.4 [68.39-72.69]","58.1 [56.39-60.04]","2 118 148 [2 060 113-2 183 053]","1 176 905 [1 142 590-1 213 217]","941 243 [913 003-971 213]"
"Africa"," 2009","66.37 [64.69-68.24]","72.52 [70.63-74.64]","59.88 [58.28-61.71]","2 141 794 [2 088 757-2 200 942]","1 189 783 [1 158 090-1 222 738]","952 011 [926 011-979 597]"
"Africa"," 2008","68.49 [66.91-70.24]","74.8 [73.02-76.82]","61.84 [60.33-63.54]","2 166 193 [2 116 745-2 220 487]","1 202 747 [1 173 398-1 233 425]","963 446 [939 357-988 475]"
"Africa"," 2007","70.91 [69.37-72.59]","77.42 [75.7-79.39]","64.05 [62.58-65.69]","2 191 630 [2 144 885-2 242 880]","1 216 460 [1 188 715-1 245 513]","975 170 [952 233-998 830]"
"Africa"," 2006","73.45 [71.96-75.08]","80.14 [78.46-82.03]","66.38 [64.95-67.98]","2 220 653 [2 176 357-2 268 776]","1 232 050 [1 205 270-1 259 022]","988 603 [966 400-1 010 854]"
"Africa"," 2005","76.1 [74.66-77.7]","82.93 [81.27-84.78]","68.91 [67.49-70.46]","2 246 836 [2 205 043-2 293 311]","1 244 907 [1 219 286-1 271 099]","1 001 929 [980 748-1 023 338]"
"Africa"," 2004","78.99 [77.55-80.61]","85.94 [84.28-87.82]","71.68 [70.26-73.26]","2 276 821 [2 235 926-2 322 499]","1 259 352 [1 234 368-1 285 219]","1 017 469 [996 650-1 038 606]"
"Africa"," 2003","82.02 [80.56-83.68]","89.05 [87.39-90.97]","74.63 [73.2-76.23]","2 310 467 [2 270 042-2 356 441]","1 275 377 [1 251 087-1 301 365]","1 035 090 [1 014 811-1 056 146]"
"Africa"," 2002","85.05 [83.58-86.74]","92.16 [90.48-94.11]","77.57 [76.13-79.27]","2 343 516 [2 303 816-2 389 276]","1 291 266 [1 267 173-1 317 096]","1 052 250 [1 032 233-1 074 078]"
"Africa"," 2001","87.98 [86.49-89.72]","95.17 [93.46-97.18]","80.41 [78.93-82.14]","2 372 119 [2 332 640-2 418 167]","1 305 000 [1 280 983-1 330 970]","1 067 119 [1 047 065-1 088 962]"
"Africa"," 2000","90.84 [89.31-92.62]","98.12 [96.38-100.13]","83.19 [81.69-84.97]","2 395 460 [2 355 806-2 441 220]","1 315 870 [1 292 145-1 341 345]","1 079 590 [1 059 697-1 101 491]"
"Africa"," 1999","93.42 [91.85-95.22]","100.85 [99.05-102.86]","85.62 [84.08-87.43]","2 409 073 [2 369 390-2 454 535]","1 322 585 [1 298 698-1 347 524]","1 086 488 [1 066 618-1 108 250]"
"Africa"," 1998","95.8 [94.2-97.64]","103.34 [101.49-105.4]","87.89 [86.32-89.71]","2 421 020 [2 381 448-2 466 528]","1 328 179 [1 304 069-1 353 304]","1 092 841 [1 073 004-1 114 409]"
"Africa"," 1997","97.9 [96.28-99.8]","105.49 [103.62-107.62]","89.94 [88.33-91.81]","2 435 088 [2 395 513-2 481 211]","1 334 568 [1 310 521-1 360 157]","1 100 520 [1 080 564-1 122 359]"
"Africa"," 1996","99.53 [97.85-101.48]","107.21 [105.3-109.41]","91.45 [89.8-93.4]","2 437 289 [2 397 170-2 484 003]","1 335 567 [1 311 346-1 361 477]","1 101 722 [1 081 497-1 123 947]"
"Africa"," 1995","100.9 [99.2-102.89]","108.63 [106.7-110.88]","92.78 [91.09-94.76]","2 423 707 [2 383 985-2 470 156]","1 327 523 [1 303 757-1 353 568]","1 096 184 [1 076 050-1 118 305]"
"Africa"," 1994","102.96 [101.24-104.99]","110.72 [108.76-112.99]","94.81 [93.08-96.83]","2 427 634 [2 387 906-2 474 313]","1 328 286 [1 304 611-1 353 969]","1 099 348 [1 079 193-1 121 572]"
"Africa"," 1993","103.09 [101.33-105.14]","110.9 [108.88-113.21]","94.89 [93.11-96.92]","2 387 339 [2 347 290-2 433 509]","1 306 683 [1 282 637-1 332 441]","1 080 656 [1 060 154-1 102 540]"
"Africa"," 1992","103.92 [102.09-106]","111.77 [109.66-114.13]","95.68 [93.86-97.74]","2 359 836 [2 318 993-2 405 716]","1 291 274 [1 266 602-1 317 060]","1 068 562 [1 048 022-1 090 301]"
"Africa"," 1991","104.74 [102.86-106.84]","112.65 [110.5-115.03]","96.45 [94.58-98.53]","2 332 722 [2 291 959-2 378 354]","1 276 379 [1 252 020-1 302 059]","1 056 343 [1 035 754-1 078 160]"
"Africa"," 1990","105.66 [103.75-107.78]","113.57 [111.39-115.99]","97.36 [95.48-99.47]","2 306 982 [2 266 292-2 352 241]","1 261 610 [1 237 286-1 287 117]","1 045 372 [1 025 202-1 066 966]"
"Americas"," 2021","11.1 [10.54-12.01]","12.21 [11.57-13.22]","9.94 [9.42-10.77]","153 148 [145 337-165 606]","86 074 [81 578-93 157]","67 074 [63 525-72 651]"
"Americas"," 2020","11.45 [10.95-12.24]","12.59 [12.04-13.48]","10.25 [9.78-10.97]","159 653 [152 680-170 515]","89 744 [85 730-95 961]","69 909 [66 689-74 789]"
"Americas"," 2019","11.76 [11.33-12.42]","12.94 [12.45-13.7]","10.51 [10.1-11.13]","167 196 [161 101-176 619]","94 046 [90 449-99 510]","73 150 [70 245-77 356]"
"Americas"," 2018","12.07 [11.69-12.64]","13.29 [12.86-13.95]","10.78 [10.41-11.31]","174 122 [168 692-182 286]","97 992 [94 758-102 781]","76 130 [73 470-79 791]"
"Americas"," 2017","12.35 [12.02-12.84]","13.59 [13.19-14.16]","11.05 [10.72-11.52]","179 873 [175 034-186 883]","101 142 [98 191-105 322]","78 731 [76 355-81 984]"
"Americas"," 2016","12.83 [12.53-13.25]","14.08 [13.72-14.59]","11.51 [11.2-11.93]","189 426 [185 061-195 656]","106 303 [103 526-110 083]","83 123 [80 853-86 135]"
"Americas"," 2015","12.72 [12.45-13.1]","14 [13.67-14.45]","11.38 [11.1-11.77]","189 991 [185 926-195 486]","106 861 [104 305-110 224]","83 130 [81 040-85 873]"
"Americas"," 2014","13 [12.75-13.35]","14.32 [14.01-14.74]","11.61 [11.34-11.97]","194 722 [190 985-199 808]","109 666 [107 216-112 797]","85 056 [83 043-87 639]"
"Americas"," 2013","13.36 [13.12-13.68]","14.72 [14.41-15.11]","11.94 [11.67-12.28]","200 353 [196 772-205 104]","112 826 [110 472-115 793]","87 527 [85 568-90 023]"
"Americas"," 2012","13.74 [13.51-14.05]","15.13 [14.83-15.51]","12.28 [12.01-12.61]","207 068 [203 578-211 625]","116 568 [114 199-119 400]","90 500 [88 506-92 883]"
"Americas"," 2011","14.16 [13.93-14.46]","15.59 [15.29-15.96]","12.66 [12.39-12.98]","214 003 [210 474-218 391]","120 471 [118 058-123 234]","93 532 [91 515-95 879]"
"Americas"," 2010","14.9 [14.65-15.2]","16.39 [16.06-16.77]","13.33 [13.05-13.67]","226 191 [222 377-230 751]","127 189 [124 637-130 102]","99 002 [96 821-101 427]"
"Americas"," 2009","15.01 [14.76-15.3]","16.55 [16.22-16.93]","13.38 [13.09-13.71]","229 904 [226 042-234 346]","129 644 [126 980-132 536]","100 260 [98 035-102 633]"
"Americas"," 2008","15.47 [15.19-15.79]","17.07 [16.72-17.47]","13.79 [13.48-14.13]","239 086 [234 786-243 922]","134 841 [132 034-137 966]","104 245 [101 863-106 796]"
"Americas"," 2007","16.03 [15.72-16.37]","17.69 [17.31-18.13]","14.28 [13.94-14.65]","249 144 [244 386-254 412]","140 602 [137 503-144 020]","108 542 [105 911-111 341]"
"Americas"," 2006","16.71 [16.37-17.08]","18.44 [18.02-18.92]","14.88 [14.51-15.29]","259 775 [254 462-265 535]","146 633 [143 168-150 328]","113 142 [110 244-116 183]"
"Americas"," 2005","17.48 [17.1-17.89]","19.3 [18.83-19.82]","15.55 [15.14-16]","270 984 [265 089-277 279]","153 022 [149 233-157 026]","117 962 [114 806-121 254]"
"Americas"," 2004","18.25 [17.84-18.68]","20.15 [19.65-20.7]","16.25 [15.8-16.71]","282 805 [276 541-289 548]","159 648 [155 648-163 934]","123 157 [119 756-126 665]"
"Americas"," 2003","19.04 [18.61-19.5]","21.02 [20.5-21.6]","16.95 [16.49-17.45]","296 472 [289 735-303 655]","167 376 [163 067-171 893]","129 096 [125 502-132 859]"
"Americas"," 2002","19.96 [19.5-20.45]","22.02 [21.45-22.63]","17.78 [17.3-18.31]","312 403 [305 227-320 035]","176 243 [171 539-181 041]","136 160 [132 404-140 153]"
"Americas"," 2001","20.89 [20.41-21.41]","23.05 [22.43-23.7]","18.61 [18.1-19.19]","329 436 [321 857-337 610]","185 798 [180 756-190 878]","143 638 [139 584-147 958]"
"Americas"," 2000","21.86 [21.35-22.4]","24.11 [23.47-24.8]","19.49 [18.93-20.09]","346 812 [338 761-355 361]","195 559 [190 240-201 014]","151 253 [146 860-155 812]"
"Americas"," 1999","22.97 [22.44-23.54]","25.32 [24.64-26.06]","20.5 [19.91-21.13]","364 442 [355 997-373 486]","205 360 [199 800-211 254]","159 082 [154 496-163 935]"
"Americas"," 1998","24.27 [23.7-24.87]","26.72 [26-27.49]","21.69 [21.08-22.35]","385 243 [376 278-394 770]","216 801 [210 886-222 964]","168 442 [163 666-173 510]"
"Americas"," 1997","25.34 [24.74-25.98]","27.9 [27.13-28.72]","22.64 [22-23.35]","402 517 [393 092-412 634]","226 548 [220 278-233 018]","175 969 [170 946-181 338]"
"Americas"," 1996","26.56 [25.93-27.22]","29.22 [28.42-30.08]","23.76 [23.07-24.48]","423 828 [413 793-434 350]","238 333 [231 752-245 200]","185 495 [180 089-191 053]"
"Americas"," 1995","27.82 [27.16-28.53]","30.58 [29.74-31.48]","24.91 [24.18-25.67]","445 542 [435 145-456 883]","250 353 [243 445-257 556]","195 189 [189 403-201 030]"
"Americas"," 1994","29.05 [28.36-29.78]","31.91 [31.04-32.85]","26.03 [25.25-26.83]","467 508 [456 601-479 222]","262 526 [255 326-270 099]","204 982 [198 817-211 144]"
"Americas"," 1993","30.32 [29.59-31.1]","33.29 [32.38-34.27]","27.19 [26.39-28.02]","489 393 [477 811-501 900]","274 734 [267 216-282 608]","214 659 [208 388-221 080]"
"Americas"," 1992","31.53 [30.78-32.33]","34.62 [33.68-35.63]","28.27 [27.45-29.15]","511 810 [499 584-524 702]","287 287 [279 382-295 417]","224 523 [217 881-231 304]"
"Americas"," 1991","32.8 [32.01-33.62]","36.04 [35.04-37.07]","29.4 [28.53-30.31]","534 834 [521 911-548 057]","300 264 [291 920-308 661]","234 570 [227 590-241 691]"
"Americas"," 1990","34.01 [33.17-34.88]","37.32 [36.29-38.4]","30.51 [29.6-31.46]","556 355 [542 598-570 541]","312 117 [303 422-320 943]","244 238 [236 846-251 672]"
"South-East Asia"," 2021","23.87 [22.18-25.78]","24.58 [22.75-26.66]","23.11 [21.37-25.11]","796 899 [740 773-860 398]","424 491 [392 977-460 274]","372 408 [344 585-404 594]"
"South-East Asia"," 2020","25.03 [23.51-26.75]","25.73 [24.06-27.62]","24.29 [22.69-26.13]","843 169 [792 080-900 960]","448 527 [419 603-481 420]","394 642 [368 853-424 538]"
"South-East Asia"," 2019","26.33 [24.94-27.88]","27 [25.44-28.69]","25.62 [24.14-27.28]","902 004 [854 494-954 911]","478 973 [451 288-508 879]","423 031 [398 638-450 393]"
"South-East Asia"," 2018","27.69 [26.44-29.13]","28.32 [26.89-29.86]","27.04 [25.67-28.58]","958 520 [915 260-1 007 863]","507 924 [482 621-535 639]","450 596 [427 884-476 238]"
"South-East Asia"," 2017","29.1 [27.93-30.41]","29.68 [28.34-31.13]","28.49 [27.18-29.94]","1 018 923 [977 951-1 064 604]","538 894 [514 877-565 204]","480 029 [458 070-504 313]"
"South-East Asia"," 2016","30.6 [29.47-31.84]","31.12 [29.83-32.52]","30.02 [28.74-31.43]","1 083 161 [1 043 472-1 126 603]","572 024 [548 204-597 361]","511 137 [489 335-534 787]"
"South-East Asia"," 2015","32.14 [31.01-33.33]","32.63 [31.33-33.98]","31.6 [30.31-33]","1 142 349 [1 102 517-1 184 280]","602 288 [578 270-627 020]","540 061 [517 969-563 615]"
"South-East Asia"," 2014","33.74 [32.62-34.92]","34.2 [32.9-35.52]","33.24 [31.95-34.61]","1 218 935 [1 178 754-1 261 332]","641 458 [617 096-665 973]","577 477 [555 122-601 083]"
"South-East Asia"," 2013","35.5 [34.33-36.71]","35.88 [34.57-37.2]","35.05 [33.72-36.44]","1 305 112 [1 262 597-1 349 154]","685 424 [660 275-710 241]","619 688 [595 949-643 798]"
"South-East Asia"," 2012","37.24 [36.04-38.51]","37.58 [36.25-38.96]","36.84 [35.51-38.26]","1 384 051 [1 339 497-1 430 746]","726 032 [700 098-752 090]","658 019 [634 035-682 892]"
"South-East Asia"," 2011","39.09 [37.82-40.45]","39.38 [38.04-40.81]","38.74 [37.38-40.19]","1 464 319 [1 417 123-1 514 746]","767 187 [740 872-794 468]","697 132 [672 553-722 845]"
"South-East Asia"," 2010","41.02 [39.7-42.46]","41.27 [39.91-42.75]","40.73 [39.33-42.23]","1 547 800 [1 498 347-1 601 372]","809 632 [782 910-838 133]","738 168 [712 777-764 805]"
"South-East Asia"," 2009","42.97 [41.61-44.48]","43.35 [41.96-44.92]","42.53 [41.08-44.1]","1 632 945 [1 581 543-1 689 749]","856 397 [828 790-886 763]","776 548 [749 904-804 605]"
"South-East Asia"," 2008","45.11 [43.73-46.67]","45.49 [44.08-47.08]","44.69 [43.22-46.31]","1 724 688 [1 672 270-1 783 787]","903 820 [875 903-934 953]","820 868 [794 144-850 308]"
"South-East Asia"," 2007","46.74 [45.35-48.32]","47.15 [45.69-48.75]","46.3 [44.82-47.94]","1 797 729 [1 744 418-1 857 619]","942 053 [913 116-973 598]","855 676 [828 454-885 635]"
"South-East Asia"," 2006","48.74 [47.32-50.3]","49.25 [47.78-50.87]","48.17 [46.66-49.81]","1 889 490 [1 834 680-1 949 325]","992 232 [962 565-1 024 195]","897 258 [869 078-927 288]"
"South-East Asia"," 2005","50.76 [49.31-52.33]","51.16 [49.65-52.75]","50.29 [48.78-51.98]","1 991 443 [1 935 044-2 052 491]","1 043 311 [1 012 473-1 075 178]","948 132 [919 442-979 248]"
"South-East Asia"," 2004","53.13 [51.69-54.72]","53.79 [52.25-55.44]","52.41 [50.88-54.08]","2 104 530 [2 047 852-2 166 809]","1 107 354 [1 075 887-1 140 961]","997 176 [968 330-1 028 489]"
"South-East Asia"," 2003","54.92 [53.44-56.51]","55.19 [53.65-56.85]","54.58 [53.04-56.25]","2 192 288 [2 134 162-2 255 245]","1 144 836 [1 112 767-1 178 562]","1 047 452 [1 017 739-1 078 679]"
"South-East Asia"," 2002","57.07 [55.59-58.68]","57.55 [55.96-59.29]","56.52 [54.91-58.25]","2 293 385 [2 234 647-2 357 583]","1 201 595 [1 168 417-1 237 272]","1 091 790 [1 060 835-1 124 694]"
"South-East Asia"," 2001","59.28 [57.77-60.91]","60.08 [58.45-61.83]","58.41 [56.77-60.17]","2 381 279 [2 321 368-2 446 244]","1 254 250 [1 220 658-1 290 415]","1 127 029 [1 095 668-1 160 562]"
"South-East Asia"," 2000","61.51 [59.98-63.16]","62.61 [61-64.33]","60.31 [58.73-62.06]","2 455 846 [2 395 328-2 520 813]","1 299 193 [1 266 112-1 334 252]","1 156 653 [1 126 489-1 189 679]"
"South-East Asia"," 1999","63.75 [62.21-65.45]","65.25 [63.64-67.05]","62.11 [60.53-63.87]","2 540 741 [2 480 182-2 607 838]","1 351 406 [1 318 249-1 388 184]","1 189 335 [1 159 283-1 222 486]"
"South-East Asia"," 1998","65.97 [64.41-67.7]","67.27 [65.6-69.1]","64.56 [62.93-66.36]","2 635 919 [2 574 378-2 704 512]","1 396 045 [1 361 802-1 433 463]","1 239 874 [1 208 987-1 273 839]"
"South-East Asia"," 1997","68.19 [66.59-69.96]","69.75 [68.01-71.62]","66.5 [64.83-68.37]","2 724 501 [2 661 012-2 794 371]","1 446 360 [1 410 592-1 484 551]","1 278 141 [1 246 400-1 313 450]"
"South-East Asia"," 1996","70.44 [68.78-72.22]","72.33 [70.48-74.28]","68.41 [66.64-70.36]","2 810 411 [2 744 857-2 880 439]","1 496 965 [1 459 132-1 536 776]","1 313 446 [1 279 850-1 350 396]"
"South-East Asia"," 1995","72.69 [71.01-74.5]","74.79 [72.86-76.79]","70.45 [68.62-72.45]","2 895 467 [2 829 255-2 966 547]","1 544 066 [1 505 032-1 584 907]","1 351 401 [1 316 846-1 389 393]"
"South-East Asia"," 1994","74.91 [73.17-76.73]","77.3 [75.3-79.36]","72.35 [70.47-74.35]","2 972 233 [2 904 390-3 043 479]","1 587 698 [1 547 316-1 629 552]","1 384 535 [1 349 069-1 422 454]"
"South-East Asia"," 1993","77.06 [75.28-78.89]","79.81 [77.76-81.92]","74.13 [72.17-76.18]","3 049 609 [2 980 175-3 120 694]","1 632 934 [1 591 617-1 675 605]","1 416 675 [1 379 879-1 455 542]"
"South-East Asia"," 1992","79.27 [77.45-81.15]","82.35 [80.25-84.52]","76 [74.03-78.12]","3 135 366 [3 064 187-3 208 580]","1 682 401 [1 640 312-1 726 201]","1 452 965 [1 415 979-1 492 929]"
"South-East Asia"," 1991","81.53 [79.65-83.46]","84.9 [82.7-87.09]","77.99 [75.91-80.19]","3 214 517 [3 141 857-3 289 361]","1 726 955 [1 683 495-1 771 278]","1 487 562 [1 448 998-1 529 349]"
"South-East Asia"," 1990","83.96 [82.04-85.95]","87.49 [85.24-89.76]","80.24 [78.12-82.49]","3 302 835 [3 228 292-3 379 909]","1 774 145 [1 729 653-1 819 826]","1 528 690 [1 489 227-1 571 137]"
