"","","Mortality rate among children ages 10 to 14 years (per 1000 children aged 10)","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years"
"WHO region","Year"," Both sexes"," Both sexes"," Male"," Female"
"Western Pacific"," 2020","1.12 [0.8-1.8]","27 354 [20 048-40 573]","17 525 [12 660-26 274]","9 829 [7 270-14 487]"
"Western Pacific"," 2019","1.14 [0.83-1.76]","27 537 [20 478-39 972]","17 668 [12 969-25 861]","9 869 [7 391-14 254]"
"Western Pacific"," 2018","1.17 [0.86-1.73]","27 631 [20 828-39 293]","17 757 [13 205-25 464]","9 874 [7 479-13 950]"
"Western Pacific"," 2017","1.19 [0.89-1.7]","27 731 [21 305-38 652]","17 838 [13 544-25 089]","9 893 [7 636-13 689]"
"Western Pacific"," 2016","1.21 [0.92-1.67]","27 950 [21 862-38 044]","17 993 [13 920-24 765]","9 957 [7 826-13 532]"
"Western Pacific"," 2015","1.23 [0.96-1.65]","28 441 [22 538-37 961]","18 327 [14 372-24 697]","10 114 [8 063-13 442]"
"Western Pacific"," 2014","1.26 [1.0-1.64]","29 078 [23 409-37 870]","18 756 [14 906-24 607]","10 322 [8 322-13 402]"
"Western Pacific"," 2013","1.31 [1.07-1.65]","30 363 [24 935-38 619]","19 490 [15 779-24 874]","10 873 [8 974-13 726]"
"Western Pacific"," 2012","1.31 [1.1-1.62]","30 574 [25 396-37 946]","19 734 [16 184-24 680]","10 840 [9 007-13 468]"
"Western Pacific"," 2011","1.37 [1.16-1.63]","32 098 [27 191-38 588]","20 632 [17 285-25 004]","11 466 [9 729-13 754]"
"Western Pacific"," 2010","1.39 [1.19-1.61]","32 757 [28 151-38 239]","21 148 [18 006-24 829]","11 609 [9 976-13 607]"
"Western Pacific"," 2009","1.43 [1.25-1.62]","34 241 [29 885-38 880]","22 093 [19 125-25 252]","12 148 [10 576-13 939]"
"Western Pacific"," 2008","1.65 [1.45-1.85]","40 203 [35 351-45 227]","25 137 [21 957-28 421]","15 066 [13 188-17 172]"
"Western Pacific"," 2007","1.52 [1.35-1.69]","37 980 [33 623-42 327]","24 459 [21 454-27 428]","13 521 [11 930-15 219]"
"Western Pacific"," 2006","1.57 [1.39-1.74]","40 256 [35 437-44 980]","25 893 [22 569-29 158]","14 363 [12 582-16 193]"
"Western Pacific"," 2005","1.62 [1.43-1.81]","43 425 [37 806-48 896]","27 879 [24 086-31 568]","15 546 [13 464-17 610]"
"Western Pacific"," 2004","1.67 [1.45-1.89]","47 222 [40 451-53 737]","30 272 [25 725-34 715]","16 950 [14 470-19 439]"
"Western Pacific"," 2003","1.73 [1.47-1.97]","50 799 [42 714-58 731]","32 476 [27 035-37 762]","18 323 [15 372-21 301]"
"Western Pacific"," 2002","1.79 [1.49-2.07]","54 429 [44 580-64 023]","34 700 [28 204-41 068]","19 729 [16 177-23 301]"
"Western Pacific"," 2001","1.85 [1.51-2.18]","57 865 [46 241-69 373]","36 779 [29 078-44 341]","21 086 [16 848-25 366]"
"Western Pacific"," 2000","1.92 [1.54-2.3]","59 766 [46 345-72 954]","37 871 [29 127-46 479]","21 895 [17 085-26 857]"
"Western Pacific"," 1999","2.0 [1.56-2.43]","60 419 [45 718-75 252]","38 111 [28 530-47 715]","22 308 [16 999-27 788]"
"Western Pacific"," 1998","2.08 [1.6-2.57]","61 216 [45 219-77 503]","38 439 [28 157-48 986]","22 777 [16 969-28 888]"
"Western Pacific"," 1997","2.16 [1.62-2.7]","61 768 [44 349-79 780]","38 652 [27 364-50 038]","23 116 [16 798-29 802]"
"Western Pacific"," 1996","2.24 [1.65-2.84]","62 560 [43 723-82 255]","39 016 [26 925-51 607]","23 544 [16 732-31 059]"
"Western Pacific"," 1995","2.32 [1.68-2.99]","63 692 [43 201-84 650]","39 525 [26 470-53 063]","24 167 [16 705-32 314]"
"Western Pacific"," 1994","2.4 [1.69-3.12]","64 580 [42 791-87 559]","39 995 [26 101-54 635]","24 585 [16 455-33 359]"
"Western Pacific"," 1993","2.48 [1.7-3.28]","65 673 [42 064-90 394]","40 530 [25 628-56 129]","25 143 [16 369-34 594]"
"Western Pacific"," 1992","2.56 [1.7-3.44]","66 009 [40 642-92 404]","40 605 [24 588-57 172]","25 404 [15 971-35 608]"
"Western Pacific"," 1991","2.66 [1.73-3.64]","67 019 [40 110-95 231]","40 963 [24 254-58 323]","26 056 [15 913-37 026]"
"Western Pacific"," 1990","2.73 [1.71-3.81]","68 240 [38 963-98 577]","41 617 [23 429-60 587]","26 623 [15 549-38 416]"
