"","","Mortality rate among children ages 10 to 14 years (per 1000 children aged 10)","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years"
"WHO region","Year"," Both sexes"," Both sexes"," Male"," Female"
"Africa"," 2007","8.47 [7.49-9.81]","158 752 [138 815-181 022]","81 390 [70 940-92 937]","77 362 [67 515-88 583]"
"Africa"," 2006","8.69 [7.71-10.05]","159 115 [139 260-181 179]","81 462 [71 068-92 959]","77 653 [67 903-88 842]"
"Africa"," 2005","8.91 [7.92-10.3]","159 191 [139 461-181 724]","81 395 [71 176-92 987]","77 796 [68 098-89 119]"
"Africa"," 2004","9.13 [8.12-10.55]","159 396 [139 753-182 108]","81 440 [71 169-92 945]","77 956 [68 147-89 342]"
"Africa"," 2003","9.37 [8.35-10.81]","159 942 [140 064-182 537]","81 638 [71 259-93 322]","78 304 [68 498-89 679]"
"Africa"," 2002","9.58 [8.52-11.05]","159 775 [139 659-182 890]","81 504 [70 925-93 452]","78 271 [68 340-89 797]"
"Africa"," 2001","9.8 [8.72-11.34]","159 808 [139 419-182 974]","81 497 [70 784-93 690]","78 311 [68 202-89 981]"
"Africa"," 2000","10.04 [8.91-11.64]","159 804 [138 815-183 518]","81 454 [70 585-93 790]","78 350 [67 969-90 192]"
"Africa"," 1999","10.27 [9.08-11.95]","159 681 [138 348-184 406]","81 360 [70 293-94 159]","78 321 [67 681-90 530]"
"Africa"," 1998","10.51 [9.26-12.29]","159 601 [137 804-184 664]","81 294 [69 970-94 368]","78 307 [67 569-90 826]"
"Africa"," 1997","10.77 [9.43-12.64]","159 102 [136 984-185 286]","80 983 [69 641-94 562]","78 119 [67 194-91 099]"
"Africa"," 1996","11.02 [9.62-13.0]","157 301 [134 674-184 468]","80 007 [68 373-93 845]","77 294 [66 048-91 021]"
"Africa"," 1995","11.27 [9.78-13.42]","155 817 [132 602-184 449]","79 181 [67 057-93 726]","76 636 [65 101-90 994]"
"Africa"," 1994","13.03 [11.37-15.57]","186 118 [158 921-221 877]","94 265 [80 265-112 574]","91 853 [78 090-110 014]"
"Africa"," 1993","11.96 [10.3-14.46]","157 900 [132 697-190 373]","80 400 [67 429-97 082]","77 500 [65 014-93 544]"
"Africa"," 1992","11.91 [10.18-14.58]","151 715 [125 696-185 834]","76 822 [63 536-94 313]","74 893 [61 916-91 894]"
"Africa"," 1991","12.04 [10.17-14.93]","148 068 [121 433-184 452]","74 857 [61 215-93 613]","73 211 [59 863-91 484]"
"Africa"," 1990","12.31 [10.31-15.55]","146 379 [118 382-185 947]","73 975 [59 745-94 008]","72 404 [58 439-92 252]"
"Americas"," 2021","","19 429 [18 127-21 707]","11 473 [10 725-12 767]","7 956 [7 365-8 957]"
"Americas"," 2020","1.31 [1.22-1.46]","19 638 [18 487-21 609]","11 634 [10 953-12 789]","8 004 [7 483-8 861]"
"Americas"," 2019","1.32 [1.24-1.47]","20 037 [18 905-21 906]","11 868 [11 197-12 965]","8 169 [7 666-8 988]"
"Americas"," 2018","1.35 [1.27-1.48]","20 514 [19 372-22 314]","12 128 [11 460-13 180]","8 386 [7 877-9 183]"
"Americas"," 2017","1.37 [1.29-1.49]","20 798 [19 667-22 531]","12 315 [11 652-13 329]","8 483 [7 963-9 255]"
"Americas"," 2016","1.37 [1.3-1.49]","20 940 [19 804-22 603]","12 399 [11 741-13 362]","8 541 [8 021-9 280]"
"Americas"," 2015","1.39 [1.31-1.5]","21 168 [20 047-22 744]","12 565 [11 914-13 474]","8 603 [8 082-9 319]"
"Americas"," 2014","1.41 [1.33-1.51]","21 471 [20 339-22 977]","12 769 [12 116-13 642]","8 702 [8 175-9 385]"
"Americas"," 2013","1.43 [1.35-1.52]","21 819 [20 696-23 260]","12 996 [12 341-13 825]","8 823 [8 296-9 480]"
"Americas"," 2012","1.45 [1.37-1.54]","22 212 [21 109-23 601]","13 245 [12 605-14 039]","8 967 [8 447-9 604]"
"Americas"," 2011","1.47 [1.4-1.56]","22 627 [21 544-23 969]","13 487 [12 860-14 257]","9 140 [8 626-9 758]"
"Americas"," 2010","2.86 [2.1-3.77]","31 335 [26 292-37 306]","17 252 [14 902-20 071]","14 083 [11 329-17 303]"
"Americas"," 2009","1.53 [1.46-1.61]","23 563 [22 510-24 809]","14 027 [13 422-14 750]","9 536 [9 037-10 131]"
"Americas"," 2008","1.55 [1.48-1.63]","24 014 [22 977-25 233]","14 313 [13 711-15 012]","9 701 [9 204-10 279]"
"Americas"," 2007","1.57 [1.51-1.65]","24 464 [23 435-25 647]","14 602 [14 009-15 273]","9 862 [9 368-10 424]"
"Americas"," 2006","1.6 [1.53-1.67]","24 899 [23 873-26 043]","14 885 [14 286-15 544]","10 014 [9 523-10 573]"
"Americas"," 2005","1.63 [1.56-1.7]","25 451 [24 421-26 574]","15 209 [14 613-15 859]","10 242 [9 747-10 794]"
