"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"WHO region","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Global"," 1994","89.24 [88.14-90.52]","91.35 [90.16-92.71]","86.96 [85.82-88.33]","11 710 162 [11 566 577-11 875 258]","6 194 964 [6 113 487-6 285 264]","5 515 198 [5 441 910-5 600 153]"
"Global"," 1993","90.31 [89.18-91.6]","92.55 [91.34-93.93]","87.9 [86.73-89.28]","11 929 157 [11 781 204-12 098 463]","6 313 755 [6 231 102-6 407 394]","5 615 402 [5 539 801-5 702 164]"
"Global"," 1992","91.46 [90.31-92.79]","93.81 [92.55-95.23]","88.95 [87.72-90.35]","12 200 874 [12 046 817-12 377 976]","6 459 418 [6 372 584-6 556 991]","5 741 456 [5 661 887-5 832 608]"
"Global"," 1991","92.08 [90.87-93.47]","94.55 [93.25-96.04]","89.47 [88.19-90.92]","12 546 054 [12 379 135-12 736 270]","6 644 731 [6 551 234-6 750 026]","5 901 323 [5 816 670-5 997 469]"
"Global"," 1990","93.03 [91.71-94.53]","95.44 [94.03-97.08]","90.46 [89.1-92.02]","12 831 685 [12 651 501-13 036 720]","6 793 645 [6 693 176-6 907 944]","6 038 040 [5 947 898-6 141 328]"
"Africa"," 2021","71.77 [65.25-83.77]","76.91 [69.93-89.82]","66.32 [60.15-77.58]","2 762 235 [2 512 708-3 212 228]","1 506 288 [1 369 178-1 750 382]","1 255 947 [1 139 334-1 464 893]"
"Africa"," 2020","73.8 [67.56-84.65]","79.06 [72.35-90.64]","68.3 [62.47-78.48]","2 801 537 [2 565 709-3 207 213]","1 526 340 [1 396 701-1 745 179]","1 275 197 [1 166 186-1 461 381]"
"Africa"," 2019","75.89 [70.08-85.71]","81.17 [74.98-91.78]","70.29 [64.8-79.37]","2 838 891 [2 623 267-3 200 285]","1 544 976 [1 426 939-1 742 474]","1 293 915 [1 192 584-1 457 397]"
"Africa"," 2018","78.05 [72.6-86.81]","83.47 [77.61-92.84]","72.4 [67.21-80.6]","2 873 277 [2 674 703-3 192 051]","1 562 438 [1 453 227-1 734 797]","1 310 839 [1 217 188-1 457 455]"
"Africa"," 2017","80.37 [75.17-88.24]","85.9 [80.34-94.32]","74.58 [69.66-81.97]","2 911 973 [2 724 532-3 194 458]","1 582 666 [1 480 167-1 734 687]","1 329 307 [1 241 598-1 459 017]"
"Africa"," 2016","82.58 [77.71-89.58]","88.22 [83.05-95.68]","76.6 [72.02-83.23]","2 948 078 [2 775 672-3 195 659]","1 602 008 [1 507 282-1 733 872]","1 346 070 [1 264 892-1 460 500]"
"Africa"," 2015","84.96 [80.44-91.19]","90.75 [85.87-97.41]","78.88 [74.62-84.73]","2 988 884 [2 830 902-3 205 836]","1 623 353 [1 536 084-1 739 829]","1 365 531 [1 291 342-1 464 813]"
"Africa"," 2014","87.36 [83.15-92.87]","93.28 [88.75-99.19]","81.15 [77.2-86.33]","3 025 838 [2 881 271-3 214 340]","1 642 951 [1 562 894-1 744 585]","1 382 887 [1 315 400-1 469 299]"
"Africa"," 2013","89.97 [86.05-94.96]","96.02 [91.81-101.32]","83.6 [79.85-88.27]","3 068 224 [2 935 642-3 235 651]","1 665 609 [1 591 722-1 754 997]","1 402 615 [1 339 272-1 478 886]"
"Africa"," 2012","92.93 [89.24-97.42]","99.12 [95.17-103.92]","86.43 [82.9-90.64]","3 118 060 [2 995 309-3 265 885]","1 691 692 [1 623 935-1 771 303]","1 426 368 [1 367 985-1 493 958]"
"Africa"," 2011","96.2 [92.74-100.29]","102.52 [98.83-106.9]","89.52 [86.23-93.41]","3 169 324 [3 056 942-3 301 842]","1 718 623 [1 656 064-1 789 357]","1 450 701 [1 396 933-1 511 803]"
"Africa"," 2010","99.69 [96.51-103.46]","106.18 [102.81-110.25]","92.85 [89.82-96.44]","3 221 581 [3 119 829-3 341 705]","1 745 924 [1 689 688-1 810 617]","1 475 657 [1 426 934-1 531 039]"
"Africa"," 2009","103.56 [100.57-107.09]","110.24 [107.02-114.03]","96.52 [93.64-99.91]","3 281 324 [3 187 675-3 391 004]","1 777 427 [1 725 020-1 836 357]","1 503 897 [1 458 555-1 554 662]"
"Africa"," 2008","107.94 [105.05-111.26]","114.8 [111.72-118.42]","100.7 [97.95-103.87]","3 346 634 [3 258 153-3 447 596]","1 811 509 [1 761 991-1 866 259]","1 535 125 [1 492 496-1 581 461]"
"Africa"," 2007","112.64 [109.83-115.82]","119.7 [116.72-123.18]","105.18 [102.51-108.22]","3 411 852 [3 327 618-3 506 621]","1 845 368 [1 798 666-1 896 931]","1 566 484 [1 526 084-1 609 945]"
"Africa"," 2006","117.55 [114.8-120.65]","124.84 [121.87-128.22]","109.87 [107.26-112.83]","3 480 343 [3 399 827-3 570 533]","1 881 385 [1 835 834-1 929 955]","1 598 958 [1 560 138-1 640 178]"
"Africa"," 2005","122.61 [119.94-125.69]","130.04 [127.1-133.43]","114.8 [112.2-117.76]","3 544 643 [3 468 028-3 632 220]","1 913 539 [1 869 611-1 961 537]","1 631 104 [1 593 719-1 671 628]"
"Africa"," 2004","128.02 [125.31-131.12]","135.62 [132.68-139.01]","120.05 [117.41-123.01]","3 613 864 [3 538 601-3 699 728]","1 948 596 [1 905 845-1 995 130]","1 665 268 [1 628 298-1 704 926]"
"Africa"," 2003","133.65 [130.9-136.82]","141.35 [138.39-144.81]","125.53 [122.87-128.6]","3 686 788 [3 612 211-3 772 334]","1 985 046 [1 942 979-2 031 066]","1 701 742 [1 665 154-1 741 543]"
"Africa"," 2002","139.29 [136.47-142.52]","147.09 [144.11-150.6]","131.07 [128.39-134.22]","3 758 772 [3 684 166-3 844 476]","2 020 811 [1 979 195-2 067 056]","1 737 961 [1 701 898-1 777 914]"
"Africa"," 2001","144.83 [142-148.14]","152.74 [149.69-156.3]","136.49 [133.74-139.73]","3 825 531 [3 751 926-3 911 211]","2 054 202 [2 012 553-2 099 744]","1 771 329 [1 735 293-1 811 675]"
"Africa"," 2000","150.1 [147.2-153.48]","158.12 [155.01-161.73]","141.65 [138.88-144.96]","3 882 586 [3 808 686-3 968 365]","2 082 421 [2 040 944-2 128 134]","1 800 165 [1 764 442-1 840 539]"
"Africa"," 1999","154.92 [151.96-158.35]","163.13 [159.92-166.78]","146.31 [143.43-149.64]","3 924 151 [3 850 154-4 009 574]","2 103 654 [2 062 083-2 149 248]","1 820 497 [1 784 352-1 860 962]"
"Africa"," 1998","159.25 [156.23-162.73]","167.54 [164.31-171.3]","150.51 [147.58-153.91]","3 957 157 [3 882 815-4 042 151]","2 119 949 [2 078 369-2 165 653]","1 837 208 [1 800 949-1 877 104]"
"Africa"," 1997","162.84 [159.79-166.41]","171.18 [167.87-174.99]","154.07 [151.05-157.54]","3 983 864 [3 910 257-4 069 412]","2 132 611 [2 091 006-2 178 168]","1 851 253 [1 814 753-1 891 378]"
"Africa"," 1996","165.75 [162.6-169.42]","174.17 [170.8-178.09]","156.9 [153.85-160.46]","3 990 780 [3 916 344-4 076 910]","2 135 611 [2 094 019-2 181 517]","1 855 169 [1 818 945-1 895 309]"
"Africa"," 1995","168.32 [165.14-172.02]","176.77 [173.36-180.75]","159.43 [156.3-163.04]","3 974 985 [3 901 366-4 060 252]","2 126 242 [2 085 146-2 172 252]","1 848 743 [1 812 366-1 888 757]"
"Africa"," 1994","172.42 [169.17-176.15]","180.93 [177.46-184.96]","163.46 [160.24-167.08]","3 998 893 [3 925 152-4 083 635]","2 137 418 [2 096 260-2 183 038]","1 861 475 [1 824 466-1 901 231]"
"Africa"," 1993","172.35 [169.04-176.14]","180.94 [177.34-185.03]","163.3 [160.06-166.98]","3 920 786 [3 846 610-4 005 235]","2 096 798 [2 054 682-2 141 857]","1 823 988 [1 787 640-1 863 508]"
"Africa"," 1992","173.58 [170.18-177.41]","182.24 [178.56-186.33]","164.48 [161.17-168.21]","3 871 851 [3 797 223-3 955 401]","2 070 510 [2 028 481-2 115 134]","1 801 341 [1 764 836-1 840 666]"
"Africa"," 1991","174.98 [171.51-178.83]","183.73 [180.01-187.93]","165.78 [162.4-169.51]","3 826 323 [3 751 265-3 908 553]","2 046 428 [2 004 896-2 091 444]","1 779 895 [1 743 342-1 818 265]"
"Africa"," 1990","176.31 [172.77-180.18]","185.1 [181.31-189.35]","167.08 [163.65-170.86]","3 782 572 [3 707 508-3 864 011]","2 022 557 [1 980 897-2 067 314]","1 760 015 [1 723 624-1 798 487]"
"Americas"," 2021","13.01 [12.34-14.17]","14.26 [13.52-15.54]","11.7 [11.08-12.75]","180 314 [171 010-196 299]","100 993 [95 711-109 963]","79 321 [75 082-86 424]"
"Americas"," 2020","13.42 [12.82-14.42]","14.7 [14.05-15.81]","12.05 [11.5-12.97]","188 007 [179 620-202 030]","105 341 [100 592-113 168]","82 666 [78 828-88 923]"
"Americas"," 2019","13.78 [13.25-14.64]","15.11 [14.54-16.08]","12.37 [11.88-13.17]","196 731 [189 235-208 959]","110 278 [106 032-117 198]","86 453 [82 968-91 904]"
"Americas"," 2018","14.15 [13.69-14.89]","15.52 [15-16.36]","12.7 [12.26-13.38]","204 737 [198 111-215 333]","114 807 [110 957-120 933]","89 930 [86 777-94 664]"
"Americas"," 2017","14.49 [14.08-15.12]","15.87 [15.41-16.61]","13.02 [12.62-13.61]","211 604 [205 669-220 759]","118 548 [115 004-123 917]","93 056 [90 180-97 203]"
"Americas"," 2016","15.02 [14.64-15.57]","16.43 [15.99-17.07]","13.53 [13.15-14.07]","222 271 [216 808-230 445]","124 331 [120 990-129 105]","97 940 [95 229-101 803]"
"Americas"," 2015","14.96 [14.62-15.45]","16.4 [16-16.97]","13.44 [13.1-13.93]","223 667 [218 587-230 948]","125 348 [122 273-129 651]","98 319 [95 784-101 818]"
"Americas"," 2014","15.31 [14.99-15.76]","16.8 [16.42-17.33]","13.74 [13.41-14.2]","229 488 [224 726-236 261]","128 743 [125 798-132 735]","100 745 [98 314-104 053]"
"Americas"," 2013","15.74 [15.44-16.17]","17.27 [16.9-17.78]","14.13 [13.82-14.57]","236 358 [231 810-242 716]","132 586 [129 728-136 392]","103 772 [101 419-106 895]"
"Americas"," 2012","16.21 [15.91-16.61]","17.77 [17.41-18.25]","14.55 [14.24-14.97]","244 444 [239 949-250 466]","137 064 [134 244-140 676]","107 380 [105 022-110 377]"
"Americas"," 2011","16.71 [16.41-17.1]","18.32 [17.95-18.78]","15.01 [14.7-15.41]","252 898 [248 383-258 679]","141 775 [138 897-145 278]","111 123 [108 745-114 007]"
"Americas"," 2010","18.16 [17.8-18.6]","19.82 [19.41-20.34]","16.4 [16.02-16.86]","276 062 [270 643-282 763]","154 117 [150 817-158 060]","121 945 [119 082-125 302]"
"Americas"," 2009","17.75 [17.43-18.13]","19.48 [19.08-19.94]","15.92 [15.58-16.31]","272 322 [267 438-278 096]","152 818 [149 669-156 353]","119 504 [116 923-122 394]"
"Americas"," 2008","18.32 [17.97-18.72]","20.11 [19.7-20.6]","16.44 [16.07-16.85]","283 469 [278 106-289 648]","159 052 [155 728-162 875]","124 417 [121 607-127 498]"
