"","","Neonatal mortality rate (0 to 27 days) per 1000 live births) (SDG 3.2.2)","Number of neonatal deaths (0 to 27 days)"
"WHO region","Year"," Both sexes"," Both sexes"
"Americas"," 2014","8.33 [8.1-8.66]","125 127 [121 568-129 968]"
"Americas"," 2013","8.55 [8.31-8.86]","128 264 [124 740-132 958]"
"Americas"," 2012","8.75 [8.52-9.05]","131 910 [128 407-136 417]"
"Americas"," 2011","8.94 [8.7-9.23]","135 415 [131 812-139 829]"
"Americas"," 2010","9.14 [8.89-9.43]","138 893 [135 198-143 363]"
"Americas"," 2009","9.31 [9.06-9.61]","142 910 [139 029-147 479]"
"Americas"," 2008","9.53 [9.26-9.85]","147 419 [143 257-152 300]"
"Americas"," 2007","9.79 [9.5-10.13]","152 493 [147 907-157 773]"
"Americas"," 2006","10.13 [9.8-10.51]","157 815 [152 735-163 695]"
"Americas"," 2005","10.54 [10.18-10.95]","163 857 [158 251-170 277]"
"Americas"," 2004","10.98 [10.57-11.42]","170 690 [164 443-177 559]"
"Americas"," 2003","11.43 [10.99-11.91]","178 018 [171 044-185 443]"
"Americas"," 2002","11.96 [11.46-12.49]","187 225 [179 390-195 412]"
"Americas"," 2001","12.51 [11.95-13.07]","197 312 [188 500-206 193]"
"Americas"," 2000","13.04 [12.44-13.65]","207 501 [197 871-217 086]"
"Americas"," 1999","13.61 [12.96-14.27]","216 705 [206 371-227 124]"
"Americas"," 1998","14.12 [13.43-14.82]","225 240 [214 148-236 349]"
"Americas"," 1997","14.65 [13.93-15.37]","233 701 [222 160-245 170]"
"Americas"," 1996","15.19 [14.44-15.92]","243 414 [231 302-255 084]"
"Americas"," 1995","15.74 [14.96-16.51]","253 499 [240 911-265 823]"
"Americas"," 1994","16.22 [15.45-17.01]","262 583 [250 106-275 295]"
"Americas"," 1993","16.7 [15.89-17.51]","271 423 [258 277-284 710]"
"Americas"," 1992","17.13 [16.3-17.95]","279 450 [265 965-292 835]"
"Americas"," 1991","17.58 [16.75-18.43]","288 471 [274 742-302 425]"
"Americas"," 1990","18.05 [17.2-18.93]","297 554 [283 511-312 086]"
"South-East Asia"," 2021","17.28 [15.77-19.03]","578 799 [528 145-637 457]"
"South-East Asia"," 2020","18.2 [16.82-19.78]","611 215 [564 797-664 318]"
"South-East Asia"," 2019","19.25 [17.96-20.69]","656 842 [612 560-705 963]"
"South-East Asia"," 2018","20.38 [19.14-21.74]","707 679 [664 507-754 839]"
"South-East Asia"," 2017","21.34 [20.15-22.62]","744 157 [702 563-788 722]"
"South-East Asia"," 2016","22.32 [21.14-23.57]","793 140 [751 323-837 558]"
"South-East Asia"," 2015","23.3 [22.11-24.52]","830 923 [788 774-874 403]"
"South-East Asia"," 2014","24.29 [23.09-25.51]","871 531 [828 618-915 350]"
"South-East Asia"," 2013","25.36 [24.11-26.64]","933 520 [887 725-980 673]"
"South-East Asia"," 2012","26.41 [25.12-27.75]","983 111 [935 295-1 033 186]"
"South-East Asia"," 2011","27.51 [26.17-28.94]","1 033 986 [983 590-1 087 624]"
"South-East Asia"," 2010","28.67 [27.24-30.16]","1 084 170 [1 030 007-1 140 465]"
"South-East Asia"," 2009","29.77 [28.25-31.37]","1 137 242 [1 079 273-1 198 392]"
"South-East Asia"," 2008","30.83 [29.27-32.49]","1 184 241 [1 124 266-1 247 629]"
"South-East Asia"," 2007","31.88 [30.29-33.57]","1 232 439 [1 170 995-1 297 906]"
"South-East Asia"," 2006","32.96 [31.31-34.71]","1 280 646 [1 216 552-1 348 433]"
"South-East Asia"," 2005","34.11 [32.44-35.88]","1 340 745 [1 275 479-1 410 380]"
"South-East Asia"," 2004","35.36 [33.66-37.13]","1 407 751 [1 340 051-1 478 268]"
"South-East Asia"," 2003","36.62 [34.89-38.39]","1 469 450 [1 400 022-1 540 332]"
"South-East Asia"," 2002","37.94 [36.2-39.74]","1 535 780 [1 465 374-1 608 625]"
"South-East Asia"," 2001","39.3 [37.5-41.15]","1 599 458 [1 526 139-1 674 752]"
